order_id,order_date,customer_id,customer_segment,region,sales_rep,channel,category,product,unit_price,units_sold,discount_pct,gross_revenue,net_revenue,returned
ORD-100000,2024-07-01,CUST-7183,Consumer,Central,Dana Kowalski,Marketplace,Home & Kitchen,Air Fryer,91.5,6,0.064,549.0,513.86,False
ORD-100001,2024-07-01,CUST-9172,Enterprise,South,Chris Evans,In-Store,Electronics,Wireless Earbuds,58.44,1,0.015,58.44,57.56,False
ORD-100002,2024-07-01,CUST-5685,Consumer,Central,Dana Kowalski,Online,Electronics,Wireless Earbuds,62.55,3,0.004,187.65,186.9,False
ORD-100003,2024-07-01,CUST-9073,Consumer,East,Emily Chen,In-Store,Beauty,Hair Dryer,45.56,1,0.061,45.56,42.78,False
ORD-100004,2024-07-01,CUST-7071,Consumer,East,Liam O'Brien,Online,Office Supplies,Notebook Set,15.1,4,0.007,60.4,59.98,True
ORD-100005,2024-07-01,CUST-5436,Enterprise,South,Maria Gomez,Online,Beauty,Perfume,69.49,4,0.015,277.96,273.79,False
ORD-100006,2024-07-01,CUST-8274,Consumer,North,Jordan Lee,Online,Electronics,Wireless Earbuds,58.7,4,0.098,234.8,211.79,False
ORD-100007,2024-07-01,CUST-5095,Small Business,Central,Dana Kowalski,In-Store,Beauty,Skincare Set,75.22,10,0.002,752.2,750.7,False
ORD-100008,2024-07-01,CUST-8035,Consumer,North,Jordan Lee,Online,Office Supplies,Ergonomic Chair,246.64,2,0.064,493.28,461.71,False
ORD-100009,2024-07-01,CUST-8074,Consumer,West,Jake Chen,Online,Beauty,Electric Shaver,93.18,3,0.014,279.54,275.63,True
ORD-100010,2024-07-01,CUST-7715,Enterprise,East,Liam O'Brien,Online,Electronics,USB-C Hub,33.34,2,0.082,66.68,61.21,False
ORD-100011,2024-07-01,CUST-6574,Consumer,Central,Marcus Webb,Online,Office Supplies,Ergonomic Chair,250.74,8,0.058,2005.92,1889.58,False
ORD-100012,2024-07-02,CUST-8717,Small Business,West,Sophie Zhang,Online,Apparel,Running Shoes,82.68,6,0.047,496.08,472.76,False
ORD-100013,2024-07-02,CUST-6262,Consumer,South,Chris Evans,In-Store,Apparel,T-Shirt Pack,23.81,10,0.046,238.1,227.15,False
