month,gross_revenue,net_revenue,discount_amount
2024-07,98834.79999999981,91766.22999999998,7068.569999999832
2024-08,70044.85999999997,64944.23000000006,5100.62999999991
2024-09,72485.90000000001,67515.16999999998,4970.730000000025
2024-10,83708.57999999996,78205.02000000003,5503.559999999925
2024-11,119498.76999999992,99316.25000000003,20182.519999999888
2024-12,134082.08999999997,111117.19000000009,22964.899999999878
2025-01,53680.630000000005,49065.01000000002,4615.619999999988
2025-02,56983.290000000015,53569.39999999999,3413.8900000000285
2025-03,80975.91,75217.44999999995,5758.46000000005
2025-04,72257.90999999996,66966.78000000003,5291.129999999932
2025-05,77828.11000000002,72428.0,5400.110000000015
2025-06,67438.83999999998,62330.760000000024,5108.079999999958
2025-07,102534.55999999994,95657.35000000005,6877.20999999989
2025-08,71209.29999999999,66517.62999999999,4691.669999999998
2025-09,71201.86000000003,66078.74999999997,5123.110000000059
2025-10,82112.48999999998,76613.43000000002,5499.059999999954
2025-11,112661.6199999999,93167.08,19494.53999999989
2025-12,123472.23000000007,102466.0499999999,21006.180000000168
2026-01,69857.23999999998,64960.37999999998,4896.859999999993
2026-02,58282.76000000002,54390.84000000002,3891.9199999999983
2026-03,81785.81000000004,76232.56,5553.250000000044
2026-04,79976.92,73567.92999999996,6408.990000000034
2026-05,74883.03,69315.48000000001,5567.549999999988
2026-06,77098.22000000006,71276.07000000002,5822.150000000038
