category,product,avg_discount,gross_revenue,net_revenue
Beauty,Skincare Set,0.10351476793248943,49536.24000000001,44889.680000000044
Electronics,Smart Watch,0.10202721088435371,243695.19000000006,219930.72
Electronics,USB-C Hub,0.1019392033542977,46830.80000000003,42054.65000000001
Home & Kitchen,Vacuum Cleaner,0.10074425287356323,145282.21000000008,131135.40000000002
Office Supplies,Ergonomic Chair,0.10049568965517239,163927.95,147675.54000000004
Apparel,Denim Jeans,0.1003322259136213,47164.62000000002,42631.900000000016
Beauty,Electric Shaver,0.10013839285714284,60072.67000000002,54381.24999999999
Beauty,Makeup Kit,0.09953669724770645,32930.90000000001,29573.270000000008
Home & Kitchen,Cookware Set,0.09952011494252878,131844.67999999996,118671.20000000003
Apparel,Yoga Pants,0.09784294871794877,38738.05000000002,34931.880000000005
Home & Kitchen,Air Fryer,0.09748780487804878,93391.02999999997,84295.73000000003
Electronics,Laptop Stand,0.0974009433962264,39046.479999999996,35215.689999999995
Office Supplies,Desk Lamp,0.09730801687763713,25439.69,22966.36
Apparel,T-Shirt Pack,0.09685230769230765,24330.500000000004,21929.230000000014
Office Supplies,Standing Desk,0.0960917030567685,254758.37999999998,231679.1700000001
Home & Kitchen,Coffee Maker,0.09579943502824864,70620.92000000007,64164.06000000001
Electronics,Bluetooth Speaker,0.09571115973741787,58707.74999999997,53190.33
Electronics,Wireless Earbuds,0.09552045454545459,76587.67000000004,69196.18000000005
Apparel,Running Shoes,0.09525070422535208,79440.35000000003,71953.49
Office Supplies,Monitor Arm,0.09500000000000003,42491.92000000004,38697.10999999997
Home & Kitchen,Blender,0.09459312320916909,49996.03999999995,45442.51000000004
Office Supplies,Notebook Set,0.09407722007722014,11299.35,10220.439999999999
Apparel,Winter Jacket,0.09366860465116278,124973.51999999996,113475.57000000005
Beauty,Perfume,0.0936610169491525,50628.869999999995,45870.48000000002
Beauty,Hair Dryer,0.09205627705627703,31159.949999999993,28513.200000000004
